2026-08-11 12:51:34,651 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-05-28T00%3A00%3A00%2B00%3A00&end=2018-06-09T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:34,873 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-06-09T02%3A00%3A00%2B00%3A00&end=2018-06-21T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:35,086 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-06-21T04%3A00%3A00%2B00%3A00&end=2018-07-03T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:35,294 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-07-03T06%3A00%3A00%2B00%3A00&end=2018-07-15T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:35,539 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-07-15T08%3A00%3A00%2B00%3A00&end=2018-07-27T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:35,753 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-07-27T10%3A00%3A00%2B00%3A00&end=2018-08-08T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:36,001 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-08-08T12%3A00%3A00%2B00%3A00&end=2018-08-20T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:36,213 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-08-20T14%3A00%3A00%2B00%3A00&end=2018-09-01T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:36,422 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-09-01T16%3A00%3A00%2B00%3A00&end=2018-09-13T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:36,631 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-09-13T18%3A00%3A00%2B00%3A00&end=2018-09-25T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:36,848 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-09-25T20%3A00%3A00%2B00%3A00&end=2018-10-07T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:37,067 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-10-07T22%3A00%3A00%2B00%3A00&end=2018-10-20T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:37,281 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-10-20T00%3A00%3A00%2B00%3A00&end=2018-11-01T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
